ticker,name,beta_equity,beta_asset,beta_debt,re,rd,wacc,"enterprise_value, $B","equity_value, $B",stock_price,mkt_stock_price
BHPLF,BHP Group,0.32,0.09630895397724007,-0.7417523944661227,0.0236249494126184,0.0,0.018470169525958133,1846.3050231363602,1835.0180231363602,344.9281998376617,27.71
LIN,Linde plc,0.39,0.22900388489496112,-0.7417523944661227,0.027365619515188955,0.0,0.02376477214403437,435.36686058420395,426.021860584204,784.9031092068536,202.74
CTA-PB,E. I. du Pont de Nemours and Company,,,,,,,,,,
RTPPF,Rio Tinto Group,0.55,0.3346238515568691,-0.7417523944661227,0.030343046375388143,0.0,0.02620573735493505,762.9653935179783,761.0313935179784,437.37436409079214,59.55
VALE,Vale S.A.,0.22,0.005131508146774539,-0.7417523944661227,0.021054657214657577,0.0,0.01723119805800167,12420.316457878555,12375.150457878555,2398.284972457084,13.43
BFFAF,BASF SE,1.18,0.6781747510521864,-0.7417523944661227,0.04002774623216114,0.0,0.03290279260446454,384.5436885201444,368.0896885201444,400.7596120984065,70.45
ECL,Ecolab Inc.,0.65,0.09525620607398723,-0.7417523944661227,0.023595272449225702,0.0,0.01618963975134573,368.4167792536734,361.8304792536734,1255.309739292511,198.76
AIQUF,L'Air Liquide S.A.,0.45,0.039414387163681674,-0.7417523944661227,0.022021091574144187,0.0,0.015879403542369754,841.7778169012176,829.4261169012177,1944.1345355488777,131.25
DD,"DuPont de Nemours, Inc.",1.38,0.8715701207130745,-0.7417523944661227,0.04547956170290157,0.0,0.03635462448648044,1318.0386279080547,1293.0756279080547,1729.8670607465613,74.83
APD,"Air Products and Chemicals, Inc.",0.67,0.3968965987047307,-0.7417523944661227,0.03209851511748636,0.0,0.02646939596226187,207.121530907159,206.140630907159,936.4495112304502,220.18
GLCNF,Glencore plc,1.05,0.49256110611128556,-0.7417523944661227,0.03479529758127714,0.0,0.027724663365148897,1598.0426174273823,1568.0036174273823,110.03534157385138,3.42
CUAEF,China Shenhua Energy Company Limited,0.07,-0.022209953885710565,-0.7417523944661227,0.02028390139996182,0.0,0.01844663645856108,14614.903874423693,14619.406874423692,735.0129147523224,2.07
SHW,The Sherwin-Williams Company,1.25,-0.04140901764135718,-0.7417523944661227,0.019742679792690142,0.0,0.010757738109363901,785.7944938757136,776.9347508757136,8460.57661848757,479.01
PCHUY,PTT Public Company Limited,,,,,,,,,,
AAUKF,Anglo American plc,,,,,,,,,,
DOW,Dow Inc.,,,,,,,,,,
DKILY,"Daikin Industries,Ltd.",0.73,0.5150421900840042,-0.7417523944661227,0.03542903933846808,0.0,0.03102170247200806,21442.702434782594,21382.110434782593,73106.23097231466,12.49
NILSY,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,0.86,-0.22006865141186266,-0.7417523944661227,0.014706264716699592,0.0,0.0067760095839124014,2451.9763294984823,2444.9253294984824,1547.4210946192925,22.64
SHECF,"Shin-Etsu Chemical Co., Ltd.",1.32,1.3153284422402118,-0.7417523944661227,0.05798910878675158,0.0,0.05784361680267073,14208.22240656008,15027.278406560079,35223.21076004988,85.6
LYB,LyondellBasell Industries N.V.,1.36,0.5170179462364282,-0.7417523944661227,0.035484735904404915,0.0,0.024765780741542377,534.171319945783,525.9403199457829,1420.193664963095,86.39
NTR,Nutrien Ltd.,1.03,0.6807447690840397,-0.7417523944661227,0.040100195040479084,0.0,0.03341036644937811,3538.5052711809562,3532.2252711809565,5770.00714046908,53.05
SLMNP,"A. Schulman, Inc.",,,,,,,,,,
HCMLF,LafargeHolcim Ltd,1.09,0.5825147593679165,-0.7417523944661227,0.03733109106658157,0.0,0.029163214687979982,178.99367078968442,166.47167078968442,279.1977707164518,49.55
NEM,Newmont Goldcorp Corporation,,,,,,,,,,
SCCO,Southern Copper Corporation,0.73,0.21295657028000217,-0.7417523944661227,0.026913245716193263,0.0,0.015839179398875563,465.84744887117535,460.73194887117535,596.0001408351125,37.43
